27274_3,He was capable of doing it.,He would do it regardless of any personal danger.,so
29864_1,I feel something bears a similarity to something else.,This similarity is that no one religion should be interpreted more literally than another.,Nan
8456_1,I'm from Boston.,Sometimes my accent really becomes apparent.,and
32202_3,Those questions were the ones that are afraid to be asked in normal interactions.,It is not acceptable in societal norms.,because
42504_4,I've always wanted to be a part of the Soc 119 environment.,(in terms of a classroom setting).,Nan
34807_5,we would have to own up to our wrongdoings.,people are not  easily inclined to do it.,so
20252_1,I talked to Rafi/ Bassin.,"Now, I feel like people in Iran view us with more positivity than Americans view them.",and
41328_4,I think people should research the lives of everyday citizens there.,The information is definitely available.,because
30042_4,The person in power decided to use his DIVINE rights to do something specific.,to protect and preserve this frozen religion in time.,and
39810_2, many times people go through things in life that may change the course of their life.,how they respond to it determines how the rest of their life will be.,and
7766_2,They are going to use modern outlets to try to increase their rights.,They will fight on their idea of a fair balance.,and
40873_2,Bassim reminded me to forgive.,The lecture helped me handle my roommate issues.,and
14834_1,A simple valley can cause one person to never interact with another.,"No interaction can cause people to develop new dialect, changes in voice.",and
31346_5,we live in now is that you can pick choose what you agree with in the bible oppose to being forced., take the entire text at face value what is is.,and
33742_1,He is changing the minds.,He is changing the hearts of so many.,and
38083_1,These changes are reminiscent of every totalitarian regime that chose to limit peoples freedoms.,They are reminiscent of every totalitarian regime that chose to heavily control a population.,and
28101_5,A lot of Christians fear Muslims. ,Christians exploit the people who follow Islam.,so
19150_3,He came to America.,A man who used to live in the war zone came to America.,because
19931_1,We think that Afghanistan is a huge war zone.,We think that the Afghan people need our help.,and
33924_5,They'd say she had a rat on her head.,They'd say she wasnt in her country anymore.,so
29640_1,Hearing the perspective of an Afghan man himself was very eye-opening special., I had never experienced that before.,because
12989_2,Which continue to change as people move from different locations.,As time passes (such as in the Pittsburgh to Philly comparison).,and
8031_1,I am open to admitting my own ignorance.,This is definitely a portrayal of mine.,and
39456_6,we will never think anything of sending troops over., disrupting Iraq's way of life.,and
29631_2,I don't think we should take the bible's word of advice,it is impacting a large chunk of society that has changed with times,and
11651_1, I dont believe that physical traits determine what kind of person you are.,Many people do.,so
38852_1,Some people use the bible as a guide through life.,They  only follow the what the bible says.,and
38750_2,People first hand.,Would he have been able to have the same feelings to use.,and
38908_3,My light is no more.,That quote was one of the most saddening quote.,because
40142_2,The distinction between ISIS caught my attention.,Muslim people caught my attention.,and
39133_1,The video begins with Bassim.,Bassim is a native to the city of Mosul.,Nan
22011_7,We knew that's why the groups of people in that slide all looked similar., but we still had no idea which person was from where.,and
25545_2,This needs to be done.,People in the west need a better understanding.,so
39691_2,The United States should take a more isolationist stance.,We need to worry about eliminating poverty.,and
10734_2,Race has always been an issue that you hear.,News reporters lamenting over it on a daily basis.,Nan
29124_3, my granddad was an asshole to everyone in the house apparently., my grandmother put up with a lot of shit.,and
31531_2, it is should go to the court to complete the process .and in Islamafter divorce that ,they go to something called Islah to talk the couple about changing their mind that,Nan
33103_2,We can'tkeep judging people without knowing them.,We cant continue to make random assumptions.,because
35473_1,Of course he does still blame certain people,He overall has the most positive attitude I have ever seen,Nan
33850_1,Being able to hold a conversation with girls who wear a Burka.,For  them to eliminate any type of stigma we had about why they use it.,and
20848_1,They fail to mention the casualties of innocent civilians.,They fail to mention the fact that we have invaded someone elses home.,and
31419_1,There's a lot of hate.,There's a lot of crime in the world.,and
32988_1,I believe that each generation will be more educated than the last.,we have more information.,because
35449_3,He follows the teaching of forgiveness.,His religion helps calm him.,and
39085_1,He decided that its best if he forgives.,He knows that there is nothing he can do about it now.,because
36508_4,I hope we demand candidates.,Candidates do more to prevent conflicts.,and
41978_5,We can overcome obstacles.,We can overcome our anger.,and
10874_1,"Now, I know Sam himself does not feel this way.",He said it (like most things he says) with the intention of hopefully getting people riled up. ,Nan
23487_1,I had always assumed other religions preached different moral and ethical values than that of Christianity.,It was interesting to me to see that they are not all that different.,so
39647_1,The video begins with Sam talking about the 9/11 attacks.,The impact that it made on the United States.,and
29185_3,Interpretation can be varied.,The meaning is able to be altered.,so
37844_1,He gave us any insight into his religion.,He showed us flaws in what we hear in the news or media.,and
33291_4,"Society mixes these two groups, too.",The stereotype of one group becomes the identifier of the other one.,so
42383_3,They don't have to wear a burkini all the time.,They can swim normally.,so
41596_4,It plays a part in shaping everyone.,It shapes every country into where it is today.,and
22131_1,I watched this video.,I agree with the statements you made.,and
37005_3,he has learned to forgive., I think thats the most admirable thing Ive ever heard.,and
42328_1,We just have to look a little closer.,dig a little deeper to find out what those things truly are.,and
26822_1,That things come to us.,who in the form of statistics numbers,and
35486_1,Both sides believe that they know best.,They refuse to compromise with the other group.,so
12357_1,If you are a certian race you can recognize other of that race.,That is not always the case.,and
36697_3,The country doesn't receive the proper distribution of funds.,The countries former systems are completely scarped.,and
31160_2,Raffi explained what Muslims actually follow in the Quran.,Raffi explained the version the Taliban pressures them to follow.,and
29338_2,Which consisted of constantly batting to live,Who never really leaving active combat.,and
32537_1,Sam explained each semester is different.,He never knows where the semester is going to go.,and
15297_3,People are being forced to have these conversations.,"Being humans, in this country we are bursting at the seams with the inequality that dominates our social institution.",because
26643_2,My understanding of the Bible is good.,"But, I do not understand other religions.",and
26270_3,Not only homosexuals are forbidden from heaven.,"Drunkards, fornicators, and other somewhat innocuous titles are forbidden too.",and
10612_1,This was the video I chose to talk about.,We agree on a few key points.,and
8893_3,"For example, the iclicker helps.",since now students can affect the content of the lecture in real time.,and
22026_1,This analysis helped me develop a deep appreciation for the intricacies of religion.,i concluded that most faith systems were founded upon very similar pillars.,and
13716_1,Equal in the sense that we're 99.9% genetically the same person.,We're only differentiated by our physical appearances. ,and
34894_1,They were able to focus their attention towards their work.,They need not worry about the way they look.,and
40541_3,His faith was inspiring.,I know I am not the only person in class who felt that way.,and
38490_6,Look at what we did to his family.,his response is simply beautiful.,and
39147_6,I think that we should use this video like a reminder.,life is not fair but we get to choose what we get out of it.,and
20187_3,"Despite everything, they continue to be brave.",They wake up and continue to fight for our country and rights.,Nan
15727_1,I don't see change.,I don't know when things will change.,and
39904_3,I wish they were reported.,Then we as Americans could have the chance to feel heartbreak for these people.,and
41970_1,Religion clearly played a huge role in Bassim's life.,It still does.,and
